# Long data file split by latools on 2021:06:22 22:02:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sample: PNG16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Analysis Time: 2021-06-10 06:47:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Na23,Mg24,Al27,Si29,K39,Ca44,Ti47,V51,Cr52,Mn55,Fe57,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Y89,Zr90,Nb93,Ba137,La139,Ce140,Nd146,Sm147,Gd157,Dy163,Er166,Yb172,Hf178,Pb208,Th232,U238
21.2928,27918372.19,17317386.77,140470738.1,5401572.115,21204727.8,1713900.356,1024156.618,579634.5182,40264.74571,2755856.402,3169276.156,51807.13716,5501.210266,137451.5853,36352.78424,1200.057603,314558.7065,1586241.514,56326.62225,21919.20122,26327.69674,232237.5141,81867.21459,187292.7086,17512.25858,3100.384448,3450.476166,3300.435658,3300.435658,2600.270428,1100.048402,70498.24105,42070.67874,10704.58156
21.79952,26990840.39,15564458.97,142312335.9,5225567.955,22515083.25,1871896.296,1119917.323,611919.9925,46687.02461,2878644.007,3410043.297,53112.59871,7802.43436,158194.7285,37857.24015,1400.078404,301902.2982,1414552.094,50803.02854,23772.58395,25926.86023,215644.1891,88512.27129,168427.1142,16611.02972,2600.270428,2700.291631,4500.810146,3100.384448,1900.144411,900.0324012,65571.53514,43676.17124,9203.386846
22.30654,24395384.11,14335511.04,145380780.4,5427572.73,20775884.2,1689441.657,1188705.335,644813.1827,45382.23261,2956357.681,3581960.931,51405.48405,29534.85112,179175.0094,39763.14387,1300.067604,328562.1077,1347073.156,46887.77391,23522.11078,22520.26824,244875.2903,70598.80624,184755.3654,19965.93281,2750.302533,1750.122509,3900.608495,2350.220921,1900.144411,750.0225007,65772.58727,43776.52136,10104.08205
22.81354,20714772.15,12283889.4,139677403.8,5032896.734,24308738.63,1523060.209,1136171.908,673255.4509,39662.82592,1982605.346,3552277.311,50301.00442,6701.796081,166096.2352,37756.93746,2000.160013,318301.6888,1312687.346,39462.19242,22971.08746,25726.44679,260384.0387,63862.72222,155511.3713,15059.06556,2300.211619,2950.348141,2700.291631,2200.193617,1500.090005,900.0324012,75728.70068,44278.28401,11705.47816
23.32055,19694298.78,11070129.29,137559632.7,4992229.107,18786186.03,1371418.295,958784.919,629985.0321,38459.07314,1940639.962,3255853.381,40264.74571,5301.123838,168528.4666,43977.22401,1300.067604,309433.1294,1415351.015,35751.0525,20767.23681,24423.83767,321276.3544,65672.0608,152626.1354,12556.30326,2400.230422,2100.176415,2400.230422,1950.152112,1000.040002,1250.062503,60244.82857,37355.73476,12306.05458
23.82743,18685129.11,10217079.95,152345525.4,5111565.261,23770982.37,1418870.628,885992.6487,572098.9988,41769.67181,1534197.447,3680081.787,37857.24015,7502.250675,198361.5017,39863.46263,1100.048402,294580.6867,1449742.455,27931.17119,31088.61206,23822.67919,262936.6446,53112.59871,113916.7263,11605.3849,2050.168114,1850.13691,2800.313635,2150.184916,1150.052902,950.0361014,58637.21107,34848.50912,11004.84213
24.33443,20305326.84,11385909.42,146982054.4,4831558.642,20529469.3,1701414.107,917795.0969,522809.2241,38158.15303,1494563.473,3122277.09,44177.92987,3400.462463,170048.85,38258.45893,800.0256008,309023.1729,1590200.341,29133.91187,42572.37303,23021.17949,282762.4148,59943.38458,115026.8228,10854.71094,1900.144411,2100.176415,2300.211619,1300.067604,850.028901,1200.057603,49196.62217,39060.93506,12606.3536
24.84139,18382441.01,11824457.79,144825778.4,4974895.364,21682582.1,1626676.948,1156099.602,525936.3935,42171.01599,1208577.153,3046831.222,38459.07314,22019.37705,186988.2004,37355.73476,1600.102407,343660.03,1438575.786,30336.76816,28131.61994,25325.62954,299341.8123,67984.37362,123961.6267,13507.29394,1750.122509,1550.096106,2450.240124,1700.115608,1250.062503,1300.067604,50301.00442,47289.28216,13206.97328
25.34845,15099970.66,17085139.66,152512158.8,4957561.621,21298664.97,1323991.475,1322106.779,635767.0221,46285.53567,1559239.853,3984751.167,45884.0596,5601.254681,188409.3016,49297.01653,1300.067604,415283.5767,1204461.886,39161.24819,21819.02619,30537.25545,299136.9958,257924.4541,138917.659,17512.25858,2500.250025,2150.184916,3650.532978,2650.28093,1800.129609,1000.040002,60144.34643,62455.63945,13307.07937
25.85536,11904162.05,16614950,153106329.7,5196900.611,26955316.29,1037761.003,1259494.735,699858.548,46887.77391,2870095.502,3770369.465,57130.25699,9203.386846,233561.8485,54418.19632,1500.090005,450058.8405,1029627.964,43977.22401,26878.8679,40465.39207,348696.6714,90425.89493,185820.9872,21117.82344,2900.336439,1950.152112,3950.624199,3500.490069,1900.144411,1350.072904,71906.22706,389004.2615,13106.868
26.36228,8314607.712,18526084.28,181700222.6,5874916.636,30989849.67,870061.9226,1489532.443,903051.1323,58637.21107,2273254.486,4417637.295,69190.96707,7202.074197,238045.2427,59742.42594,1000.040002,517651.0696,838297.7316,49799.00041,29484.73302,38358.76563,332360.5707,89116.54196,203645.4553,19214.75693,3550.504172,3650.532978,3750.562584,2950.348141,1900.144411,1450.084105,74722.67357,109174.6916,13307.07937
26.86909,5609254.303,22102816.38,165091984.6,6477597.548,33976779.39,694019.0367,1603314.535,852599.9668,52610.48201,2140364.104,4556160.856,71101.64426,8102.625251,250892.8716,56025.27251,1400.078404,561483.5476,724081.4445,47490.04112,30787.86908,37957.54364,354352.4296,91936.85664,237026.1496,22069.46527,4500.810146,3650.532978,3350.44896,3250.422555,2200.193617,2250.202518,75929.91578,116439.815,20316.497
27.37598,4343867.321,16881369.71,171367624.1,5647577.93,35835101.66,611080.3778,1489179.082,821858.0996,60546.27981,2243723.29,4850523.423,75326.28015,10704.58156,275070.4741,61350.18525,2100.176415,556936.766,668932.3778,49397.4117,30286.64684,36553.36792,334927.7448,94254.01809,205271.733,21518.50592,4750.902672,2850.324937,4200.705719,2800.313635,2100.176415,1300.067604,82571.82645,104736.9626,16510.89719
27.88295,3384936.343,16999075.33,176565125.6,5398238.703,44585553.25,766229.1098,1664106.912,911139.3024,59139.56938,2515721.149,4996880.162,69794.30735,7802.43436,274072.0372,70196.55034,1200.057603,555387.8976,651233.5165,49799.00041,30286.64684,38459.07314,346949.0384,97982.52377,201714.523,23922.87026,4200.705719,3750.562584,4100.67251,2900.336439,2600.270428,1300.067604,72811.44443,81061.99236,18613.8487
