Site	Fire	No.	Sherd	Part	Decorated	Weight	max thickness	exterior colour	core colour	interior	Inclusions	RIM_DIRECTION	LIP	RIM_LIP	radius	Burnished_inside	Burnished_outside	Multi-Impressed	Dash-Impressed_comb	LT-Impressed_comb	Fingernail	Punctate	Incised	Incised_comb	Grooved	Applique	Row_dashes_single	Row_dashes_multiple	Dots	Dashes	Dashes_slanted	Circles	Spikes	Stick	Columns_straight	Columns_slanted	Spaced_rows	Trails	Lines_straight	Lines_wavy	Lines_undulus	Tracks	Cresents	Triangles	Triangles_desc_dots	Single_col	Musical	Nubbin	Nubbin_donut	Agarabi_Adzera
NMJ	N	6	NMJ/6	body	N	8.9	9.08	salmon4	salmon4	salmon4	Moderate			_		Y	Y																																	
NMJ	N	3	NMJ/3	body	N	16.5	8.58	salmon3	salmon3	salmon3	Sparse			_		Y	N																																	
NMK	N	5	NMK/5	body	N	10.7	7.83	salmon3	dark grey	salmon3	Moderate			_		N	N																																	
NMK	N	7	NMK/7	body	N	49.8	10.84	salmon3	salmon3	grey	Moderate			_		Y	N																																	
NML	N	1	NML/1	body	N	30.8	13.37	tan4	dark grey	sienna1	Sparse			_		Y																																		
NML	N	2	NML/2	body	N	97.8	17.42	dark grey	dark grey	tan4	Sparse			_		Y																																		
NML	N	3	NML/3	body	N	266.8	17.33	tan4	dark grey	tan1	Sparse			_		Y	Y																																	
NMN	N	7	NMN/7	body	N	20.9	9.63	sienna4	dark grey	dark grey	Moderate			_		Y																																		
NMT	N	1	NMT/1	body	N	12.2	10.9	dark grey	dark grey	sienna4	Sparse			_		Y	Y																																	
NNA	N	118	NNA/118	body	Y	112.9	12.02	sienna3	salmon4	salmon3	Abundant			_			N		Y			Y						Y		Y		Y																		notAdzera
NNA	N	119	NNA/119	body	Y	64.8	11.01	sienna1	grey	sienna1	Abundant			_		N	N		Y									Y		Y																				notAdzera
NNA	N	120	NNA/120	body	Y	20.7	9.03	sienna4	grey	sienna4	Abundant			_			Y					Y												Y																notAdzera
NNA	N	123	NNA/123	body	Y	309.1	13.35	tan4	salmon3	sienna3	Abundant			_					Y									Y		Y																				notAdzera
NNA	N	124	NNA/124	body	Y	108.9	12.17	sienna1	salmon3	salmon3	Abundant			_			Y		Y									Y		Y					Y															AMR
NNA	N	126	NNA/126	body	Y	106.4	13.33	sienna3	salmon4	tan4	Abundant			_		Y	N		Y									Y		Y																				notAdzera
NNA	N	130	NNA/130	body	Y	58	9.16	grey	grey	tan4	Abundant			_		N	Y					Y											Y																	notAdzera
NNA	N	131	NNA/131	body	Y	53.5	13.24	salmon3	salmon4	salmon3	Abundant			_			N		Y									Y		Y																				notAdzera
NNA	N	133	NNA/133	body	Y	62.6	10.4	salmon3	grey	salmon3	Abundant			_			Y		Y						Y												Y													Agarabi
NNA	N	140	NNA/140	body	Y	53.4	10.18	sienna1	dark grey	sienna1	Abundant			_			N		Y					Y			Y			Y									Y											notAdzera
NNA	N	143	NNA/143	body	Y	51.8	8.06	tan4	grey	salmon3	Abundant			_			N		Y																Y															AMR
NNA	N	144	NNA/144	body	Y	56.3	11.71	sienna4	dark grey	sienna3	Abundant			_		Y	Y		Y									Y		Y																				notAdzera
NNA	N	145	NNA/145	body	Y	24.2	11.04	tan4	grey	sienna4	Abundant			_			N		Y			Y						Y		Y				Y																notAdzera
NNA	N	146	NNA/146	body	Y	35.2	10.14	tan4	grey	tan4	Abundant			_			N		Y			Y						Y		Y			Y																	notAdzera
NNA	N	149	NNA/149	body	Y	51.9	11.26	sienna4	grey	sienna3	Abundant			_		Y	Y		Y			Y																												notAdzera
NNA	N	151	NNA/151	body	Y	78.4	12.99	sienna1	salmon4	tan4	Abundant			_		N			Y			Y						Y		Y		Y																		notAdzera
NNA	N	152	NNA/152	body	Y	36.8	11.2	sienna3	dark grey	sienna3	Abundant			_					Y									Y		Y																				notAdzera
NNA	N	155	NNA/155	body	Y	28.2	14.29	tan1	salmon4	sienna3	Abundant			_					Y			Y					Y			Y			Y		Y															AMR
NNA	N	156	NNA/156	body	Y	45.2	8.66	sienna3	salmon4	sienna3	Abundant			_		N			Y									Y		Y														Y						AMR
NNA	N	157	NNA/157	body	Y	345.5	16.71	salmon3	grey	salmon3	Abundant			_					Y					Y				Y		Y										Y										notAdzera
NNA	N	158	NNA/158	body	Y	181.2	11.55	sienna3	salmon4	sienna3	Abundant			_			Y		Y				Y																					Y	Y					notAdzera
NNA	N	159	NNA/159	body	Y	230.7	13.59	salmon3	salmon3	tan1	Abundant			_		Y			Y					Y				Y		Y											Y									Agarabi
NNA	N	161	NNA/161	body	Y	135.8	12.73	salmon3	salmon4	salmon3	Abundant			_			N		Y			Y						Y		Y																				notAdzera
NNA	N	167	NNA/167	body	Y	38.4	13.13	tan4	grey	salmon3	Abundant			_		N	N		Y									Y		Y																				AMR
NNA	N	174	NNA/174	body	Y	66.4	10.7	sienna4	dark grey	salmon4	Abundant			_		N	N		Y			Y			Y			Y		Y			Y																	notAdzera
NNA	N	175	NNA/175	body	Y	39.5	9.84	sienna3	dark grey	sienna3	Abundant			_		N			Y									Y		Y						Y														AMR
NNA	N	176	NNA/176	body	Y	16.6	8.39	sienna3	salmon4	sienna3	Abundant			_		Y	Y		Y									Y		Y																				notAdzera
NNA	N	178	NNA/178	body	Y	42.6	11.03	tan4	grey	sienna1	Abundant			_			N		Y			Y						Y		Y			Y																	notAdzera
NNA	N	179	NNA/179	body	Y	104.2	13.12	tan1	grey	sienna3	Abundant			_		N			Y			Y						Y		Y			Y																	notAdzera
NNA	N	180	NNA/180	body	Y	39.7	9.77	sienna4	dark grey	salmon3	Abundant			_			N		Y			Y			Y		Y						Y																	notAdzera
NNA	N	187	NNA/187	body	Y	117.8	14.65	sienna3	dark grey	salmon3	Abundant			_			Y		Y									Y		Y																				AMR
NNA	N	189	NNA/189	body	Y	236.6	13.19	sienna3	salmon4	sienna3	Abundant			_		Y	Y		Y			Y						Y		Y			Y																	notAdzera
NNA	N	191	NNA/191	body	Y	185.5	12.8	sienna3	sienna3	sienna1	Abundant			_		N			Y			Y		Y				Y		Y			Y																	notAdzera
NNA	N	192	NNA/192	body	Y	104.2	11.47	sienna4	salmon4	sienna3	Abundant			_			Y		Y			Y						Y		Y			Y																	notAdzera
NNA	N	193	NNA/193	body	Y	60.9	9.87	dark grey	salmon4	sienna3	Abundant			_					Y			Y						Y		Y			Y																	notAdzera
NNA	N	195	NNA/195	body	Y	185.9	11.52	sienna1	grey	sienna1	Abundant			_			N		Y									Y		Y																				notAdzera
